iter	Passed	Remaining
0	54	54576
1	95	47901
2	138	45869
3	180	45008
4	219	43729
5	259	42966
6	296	42046
7	336	41705
8	371	40919
9	408	40446
10	442	39826
11	477	39349
12	517	39311
13	557	39272
14	592	38931
15	626	38533
16	661	38242
17	695	37951
18	729	37647
19	765	37514
20	803	37436
21	838	37267
22	876	37250
23	917	37304
24	957	37330
25	994	37263
26	1030	37146
27	1065	36994
28	1107	37080
29	1143	36980
30	1183	36984
31	1219	36883
32	1254	36746
33	1289	36624
34	1328	36627
35	1367	36624
36	1406	36619
37	1442	36511
38	1480	36483
39	1519	36468
40	1560	36507
41	1600	36495
42	1636	36428
43	1670	36305
44	1706	36221
45	1740	36093
46	1773	35959
47	1811	35921
48	1845	35822
49	1879	35707
50	1911	35575
51	1945	35475
52	1983	35438
53	2021	35405
54	2054	35305
55	2088	35211
56	2125	35162
57	2165	35163
58	2198	35061
59	2232	34972
60	2267	34911
61	2305	34878
62	2339	34800
63	2374	34725
64	2409	34665
65	2443	34576
66	2478	34510
67	2516	34486
68	2553	34457
69	2588	34395
70	2629	34402
71	2668	34388
72	2703	34336
73	2750	34419
74	2790	34414
75	2834	34456
76	2874	34461
77	2912	34422
78	2948	34368
79	2987	34352
80	3022	34292
81	3058	34238
82	3093	34179
83	3131	34146
84	3165	34075
85	3200	34009
86	3235	33953
87	3270	33889
88	3304	33821
89	3338	33758
90	3372	33691
91	3409	33651
92	3444	33589
93	3478	33528
94	3512	33464
95	3548	33417
96	3583	33355
97	3616	33287
98	3650	33220
99	3687	33190
100	3722	33132
101	3756	33069
102	3789	33000
103	3825	32959
104	3860	32907
105	3898	32878
106	3936	32853
107	3973	32818
108	4015	32820
109	4052	32786
110	4088	32745
111	4137	32801
112	4174	32771
113	4210	32723
114	4244	32665
115	4279	32615
116	4312	32548
117	4346	32491
118	4381	32437
119	4417	32393
120	4452	32343
121	4489	32310
122	4527	32283
123	4567	32264
124	4605	32239
125	4642	32202
126	4679	32168
127	4716	32129
128	4752	32089
129	4752	32089
130	4787	32000
131	4822	31950
132	4856	31895
133	5810	37836
134	5846	37737
135	5882	37648
136	5920	37568
137	5958	37489
138	5994	37400
139	6029	37306
140	6067	37226
141	6103	37138
142	6139	37050
143	6178	36987
144	6217	36913
145	6255	36840
146	6292	36762
147	6334	36711
148	6370	36629
149	6409	36563
150	6446	36487
151	6482	36406
152	6516	36312
153	6551	36225
154	6589	36154
155	6622	36060
156	6657	35973
157	6692	35890
158	6727	35809
159	6763	35729
160	6796	35640
161	6830	35554
162	6867	35482
163	6903	35407
164	6938	35328
165	6972	35244
166	7006	35159
167	7039	35071
168	7072	34982
169	7108	34909
170	7142	34830
171	7177	34752
172	7210	34668
173	7246	34600
174	7281	34526
175	7316	34451
176	7352	34379
177	7389	34315
178	7427	34259
179	7466	34204
180	7507	34158
181	7544	34097
182	7582	34039
183	7618	33972
184	7652	33895
185	7686	33821
186	7720	33744
187	7754	33673
188	7790	33606
189	7823	33528
190	7857	33456
191	7897	33410
192	7931	33338
193	7966	33268
194	8002	33206
195	8038	33143
196	8073	33077
197	8108	33010
198	8144	32946
199	8178	32876
200	8212	32810
201	8245	32737
202	8281	32675
203	8317	32614
204	8354	32556
205	8391	32500
206	8426	32439
207	8459	32365
208	8494	32303
209	8527	32233
210	8563	32174
211	8598	32112
212	8635	32057
213	8673	32007
214	8707	31940
215	8743	31881
216	8781	31834
217	8820	31787
218	8859	31738
219	8896	31686
220	8934	31637
221	8968	31570
222	9003	31511
223	9036	31446
224	9072	31388
225	9107	31330
226	9141	31268
227	9175	31203
228	9210	31146
229	9210	31146
230	10164	34132
231	10197	34049
232	10232	33974
233	10267	33900
234	10306	33839
235	10341	33763
236	10378	33697
237	10414	33626
238	10450	33556
239	10486	33487
240	10520	33410
241	10553	33330
242	10588	33259
243	10623	33186
244	10657	33114
245	10691	33039
246	10725	32964
247	10761	32896
248	10802	32844
249	10837	32775
250	10875	32713
251	10911	32645
252	10946	32578
253	10988	32528
254	11027	32471
255	11066	32414
256	11101	32347
257	11137	32280
258	11170	32208
259	11206	32143
260	11241	32074
261	11277	32011
262	11315	31952
263	11351	31888
264	11388	31827
265	11424	31762
266	11457	31692
267	11492	31626
268	11529	31566
269	11568	31509
270	11603	31446
271	11637	31378
272	11673	31317
273	11708	31250
274	11746	31195
275	11782	31133
276	11816	31066
277	11850	31001
278	11888	30943
279	11923	30880
280	11959	30819
281	11994	30756
282	12028	30692
283	12065	30634
284	12101	30574
285	12138	30517
286	12172	30453
287	12208	30394
288	12245	30336
289	12287	30292
290	12322	30230
291	12363	30184
292	12397	30119
293	12432	30058
294	12468	30000
295	12504	29943
296	12538	29879
297	12574	29822
298	12611	29765
299	12645	29703
300	12681	29646
301	12719	29594
302	12754	29535
303	12791	29480
304	12826	29421
305	12861	29362
306	12897	29304
307	12933	29248
308	12967	29187
309	13003	29131
310	13039	29075
311	13074	29016
312	13106	28951
313	13139	28890
314	13174	28831
315	13210	28776
316	13248	28727
317	13282	28667
318	13318	28612
319	13356	28561
320	13399	28522
321	13436	28467
322	13477	28424
323	13517	28377
324	13556	28330
325	13599	28289
326	13635	28236
327	13672	28183
328	13707	28127
329	13744	28076
330	13778	28017
331	13810	27956
332	13844	27897
333	13879	27843
334	13914	27787
335	13946	27726
336	13979	27666
337	14013	27609
338	14053	27564
339	14094	27521
340	14130	27469
341	14167	27417
342	14204	27368
343	14239	27313
344	14277	27265
345	14313	27213
346	14349	27159
347	14386	27110
348	14425	27062
349	14461	27011
350	14500	26964
351	14538	26916
352	14575	26866
353	14613	26819
354	14650	26769
355	14687	26719
356	14727	26674
357	14763	26624
358	14801	26575
359	14836	26523
360	14874	26476
361	14911	26427
362	14951	26382
363	14984	26325
